time_s,H,S,V
39.261,188.82,10.46,70.79
39.314,189.07,10.50,70.76
39.367,189.68,10.51,70.80
39.417,189.47,10.55,70.82
39.472,189.19,10.57,70.84
39.521,189.27,10.55,70.80
39.572,188.89,10.51,70.78
39.625,189.56,10.51,70.78
39.675,188.64,10.53,70.78
39.728,188.55,10.42,70.73
39.783,188.55,10.42,70.73
39.832,189.24,10.52,70.78
39.882,188.49,10.49,70.77
39.934,188.95,10.53,70.81
39.985,188.74,10.50,70.78
40.038,188.61,10.51,70.76
40.088,188.76,10.52,70.79
40.138,188.72,10.48,70.76
40.190,188.60,10.52,70.77
40.247,188.90,10.57,70.80
40.303,188.06,10.49,70.76
40.356,189.18,10.50,70.79
40.406,188.82,10.47,70.76
40.456,189.22,10.50,70.79
40.506,189.03,10.46,70.77
40.557,188.52,10.41,70.76
40.606,188.37,10.48,70.75
40.657,188.56,10.47,70.75
40.710,188.45,10.39,70.76
40.762,188.51,10.37,70.72
40.815,189.06,10.43,70.78
40.870,188.65,10.46,70.76
40.921,189.01,10.48,70.78
40.971,188.36,10.48,70.75
41.023,189.05,10.50,70.77
41.075,189.27,10.46,70.76
41.132,188.58,10.53,70.78
41.185,188.52,10.51,70.77
41.236,188.43,10.48,70.73
41.288,188.19,10.53,70.75
41.342,188.93,10.54,70.76
41.393,189.34,10.49,70.79
41.447,188.74,10.50,70.77
41.500,189.36,10.49,70.78
41.553,188.42,10.49,70.77
41.604,188.43,10.48,70.75
41.657,189.19,10.57,70.81
41.713,188.81,10.42,70.76
41.763,188.79,10.44,70.73
41.815,188.43,10.48,70.75
41.866,188.37,10.48,70.77
41.920,188.52,10.43,70.74
41.974,188.51,10.48,70.76
42.028,188.42,10.53,70.78
42.081,188.80,10.53,70.77
42.130,188.27,10.48,70.77
42.179,188.66,10.46,70.75
42.231,188.88,10.50,70.80
42.283,188.27,10.48,70.77
42.336,189.19,10.52,70.80
42.387,188.23,10.38,70.74
42.439,188.51,10.47,70.76
42.490,188.60,10.44,70.75
42.545,188.01,10.43,70.74
42.601,188.41,10.45,70.76
42.653,189.10,10.40,70.75
42.705,189.01,10.46,70.78
42.755,188.65,10.45,70.74
42.806,188.47,10.46,70.77
